N	51.9018	-8.4582	D513	08 Mar 2026	D513\nCork to Cobh\nExpected Departure 15:00	To Cobh
N	53.3531	-6.24591	D812	08 Mar 2026	D812\nDublin Connolly to Drogheda\nExpected Departure 15:10	Northbound
R	53.3334	-6.40628	D203	08 Mar 2026	D203\n14:50 - Dublin Heuston to Portlaoise (-1 mins late)\nArrived Clondalkin next stop Kishoge	To Portlaoise
R	53.3755	-6.33135	D912	08 Mar 2026	D912\n14:47 - Dublin Connolly to Maynooth (-1 mins late)\nArrived Ashtown next stop Navan Road Parkway	Northbound
R	53.638	-6.21705	D810	08 Mar 2026	D810\n14:10 - Dublin Connolly to Drogheda (-1 mins late)\nArrived Gormanston next stop Laytown	Northbound
T	53.378	-6.58993	D911	08 Mar 2026	D911\n14:17 - Dublin Connolly to Maynooth(-1 mins late)\nTERMINATED Maynooth at 14:59	Northbound
