R	53.6635	-6.23271	P714	08 Mar 2026	P714\n14:45 - Drogheda to Dublin Connolly (1 mins late)\nDeparted Mosney next stop Gormanston	Southbound
R	53.6888	-7.60299	A909	08 Mar 2026	A909\n13:05 - Sligo to Dublin Connolly (4 mins late)\nDeparted Edgeworthstown next stop Mullingar	Southbound
R	53.6888	-7.60299	A914	08 Mar 2026	A914\n19:32 - Dublin Connolly to Sligo (11 mins late)\nDeparted Edgeworthstown next stop Longford	Northbound
R	53.7243	-7.79574	A906	08 Mar 2026	A906\n13:05 - Dublin Connolly to Sligo (2 mins late)\nDeparted Longford next stop Dromod	Northbound
R	53.7955	-9.50885	A803	08 Mar 2026	A803\n13:20 - Westport to Dublin Heuston (0 mins late)\nDeparted Westport next stop Castlebar	To Dublin Heuston
R	54.0007	-6.41291	A150	08 Mar 2026	A150\n12:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A152	08 Mar 2026	A152\n13:50 - Dublin Connolly to Belfast (5 mins late)\nArrived Dundalk next stop Newry	Northbound
T	53.3531	-6.24591	P712	08 Mar 2026	P712\n13:45 - Drogheda to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 14:47	Southbound
T	53.3531	-6.24591	P752	08 Mar 2026	P752\n14:10 - Maynooth to Dublin Connolly(-2 mins late)\nTERMINATED Dublin Connolly at 14:52	Southbound
T	53.3831	-6.4242	P375	08 Mar 2026	P375\n14:40 - M3 Parkway to Clonsilla(-1 mins late)\nTERMINATED Clonsilla at 14:49	Southbound
